path,top,left_top,left_middle,left_bot,right_top,right_middle,right_bot
/cones/cone_10000.jpg,0.400390625#0.0009765625,0.244140625#0.330078125,0.189453125#0.6044921875,0.1298828125#0.896484375,0.595703125#0.3046875,0.6904296875#0.587890625,0.76171875#0.830078125
/cones/cone_10002.jpg,0.615234375#0.05078125,0.3798828125#0.3369140625,0.263671875#0.63671875,0.1474609375#0.912109375,0.7470703125#0.3466796875,0.7880859375#0.64453125,0.85546875#0.9375
/cones/cone_10004.jpg,0.59765625#0.0771484375,0.4052734375#0.3466796875,0.2890625#0.6318359375,0.1943359375#0.8681640625,0.6943359375#0.36328125,0.7265625#0.6484375,0.76171875#0.9189453125
/cones/cone_10006.jpg,0.609375#0.0439453125,0.4296875#0.3212890625,0.3388671875#0.5830078125,0.2607421875#0.82421875,0.7265625#0.326171875,0.755859375#0.59765625,0.775390625#0.8671875
/cones/cone_10013.jpg,0.40234375#0.00390625,0.2607421875#0.3173828125,0.19921875#0.6083984375,0.162109375#0.8681640625,0.59765625#0.3017578125,0.685546875#0.591796875,0.7568359375#0.8271484375
/cones/cone_10019.jpg,0.5810546875#0.0732421875,0.40234375#0.3515625,0.302734375#0.6162109375,0.19140625#0.8505859375,0.6982421875#0.3564453125,0.72265625#0.6337890625,0.7705078125#0.900390625
/cones/cone_10020.jpg,0.6123046875#0.03515625,0.42578125#0.3203125,0.3408203125#0.5771484375,0.24609375#0.8603515625,0.7177734375#0.3291015625,0.7666015625#0.6025390625,0.791015625#0.875
/cones/cone_10027.jpg,0.4072265625#0.00390625,0.2626953125#0.328125,0.2041015625#0.619140625,0.1435546875#0.888671875,0.603515625#0.3232421875,0.69140625#0.5966796875,0.7646484375#0.8310546875
/cones/cone_10033.jpg,0.5986328125#0.072265625,0.4228515625#0.3310546875,0.2958984375#0.609375,0.1875#0.86328125,0.7080078125#0.3486328125,0.7265625#0.6328125,0.7705078125#0.896484375
/cones/cone_10034.jpg,0.630859375#0.02734375,0.4287109375#0.314453125,0.3271484375#0.5732421875,0.2529296875#0.8544921875,0.748046875#0.326171875,0.771484375#0.6044921875,0.8056640625#0.875
/cones/cone_10035.jpg,0.6826171875#0.044921875,0.4013671875#0.36328125,0.296875#0.5693359375,0.177734375#0.8046875,0.796875#0.365234375,0.796875#0.58984375,0.802734375#0.8779296875
/cones/cone_10042.jpg,0.400390625#0.0009765625,0.2548828125#0.3369140625,0.1953125#0.6259765625,0.1337890625#0.921875,0.6025390625#0.3193359375,0.6884765625#0.595703125,0.775390625#0.841796875
/cones/cone_10043.jpg,0.5712890625#0.0,0.3447265625#0.333984375,0.240234375#0.646484375,0.134765625#0.9228515625,0.78515625#0.33984375,0.8076171875#0.666015625,0.8505859375#0.9619140625
/cones/cone_10049.jpg,0.591796875#0.080078125,0.40625#0.3369140625,0.302734375#0.626953125,0.205078125#0.8896484375,0.7138671875#0.345703125,0.7529296875#0.6357421875,0.791015625#0.912109375
/cones/cone_10050.jpg,0.6787109375#0.0185546875,0.4462890625#0.3662109375,0.353515625#0.544921875,0.2236328125#0.7890625,0.8134765625#0.3564453125,0.8037109375#0.583984375,0.8056640625#0.884765625
/cones/cone_10051.jpg,0.6220703125#0.0341796875,0.4345703125#0.3046875,0.318359375#0.5654296875,0.25#0.837890625,0.740234375#0.3193359375,0.7734375#0.603515625,0.796875#0.865234375
/cones/cone_10058.jpg,0.4013671875#0.0009765625,0.24609375#0.328125,0.1884765625#0.619140625,0.140625#0.923828125,0.6083984375#0.302734375,0.6884765625#0.599609375,0.7763671875#0.841796875
/cones/cone_10060.jpg,0.6259765625#0.0126953125,0.3779296875#0.330078125,0.30078125#0.64453125,0.1572265625#0.9111328125,0.80859375#0.328125,0.8291015625#0.638671875,0.8681640625#0.9423828125
/cones/cone_10064.jpg,0.5908203125#0.0576171875,0.4013671875#0.3291015625,0.2822265625#0.6328125,0.2177734375#0.8701171875,0.7373046875#0.345703125,0.7734375#0.6376953125,0.8037109375#0.904296875
/cones/cone_3773.jpg,0.552734375#0.0537109375,0.314453125#0.375,0.197265625#0.6884765625,0.04296875#0.9521484375,0.7275390625#0.3701171875,0.7294921875#0.7080078125,0.7548828125#0.94921875
/cones/cone_15610.jpg,0.5537109375#0.0029296875,0.328125#0.314453125,0.2197265625#0.65234375,0.064453125#0.904296875,0.693359375#0.330078125,0.70703125#0.6796875,0.7763671875#0.931640625
/cones/cone_18318.jpg,0.4130859375#0.00390625,0.25390625#0.3203125,0.1943359375#0.6162109375,0.13671875#0.9052734375,0.611328125#0.3017578125,0.6923828125#0.5830078125,0.744140625#0.8369140625
/cones/cone_1504.jpg,0.583984375#0.00390625,0.41796875#0.25,0.3291015625#0.5419921875,0.25#0.857421875,0.736328125#0.263671875,0.7822265625#0.5615234375,0.8271484375#0.861328125
/cones/cone_8716.jpg,0.482421875#0.0048828125,0.2490234375#0.3017578125,0.1201171875#0.6640625,0.037109375#0.916015625,0.587890625#0.3232421875,0.6005859375#0.69140625,0.671875#0.962890625
/cones/cone_15071.jpg,0.6220703125#0.0087890625,0.42578125#0.3125,0.2509765625#0.673828125,0.1298828125#0.935546875,0.7685546875#0.306640625,0.7451171875#0.6884765625,0.787109375#0.923828125
/cones/cone_16513.jpg,0.4921875#0.0263671875,0.259765625#0.3291015625,0.115234375#0.66796875,0.029296875#0.9443359375,0.6201171875#0.3388671875,0.6025390625#0.6630859375,0.6611328125#0.91796875
/cones/cone_2198.jpg,0.556640625#0.0751953125,0.3408203125#0.3310546875,0.208984375#0.6455078125,0.0908203125#0.91796875,0.6708984375#0.353515625,0.677734375#0.6982421875,0.6865234375#0.9287109375
/cones/cone_15346.jpg,0.591796875#0.0263671875,0.40625#0.2978515625,0.2919921875#0.6591796875,0.154296875#0.92578125,0.7099609375#0.3193359375,0.7138671875#0.685546875,0.74609375#0.9287109375
/cones/cone_2500.jpg,0.765625#0.0,0.5302734375#0.23046875,0.4013671875#0.6064453125,0.23046875#0.9013671875,0.9248046875#0.2568359375,0.9658203125#0.6083984375,0.9931640625#0.947265625
/cones/cone_6311.jpg,0.6015625#0.0029296875,0.392578125#0.306640625,0.2802734375#0.619140625,0.1962890625#0.916015625,0.748046875#0.3369140625,0.7880859375#0.662109375,0.8330078125#0.947265625
/cones/cone_12686.jpg,0.4794921875#0.00390625,0.267578125#0.28515625,0.1904296875#0.640625,0.0751953125#0.9228515625,0.5771484375#0.28125,0.5849609375#0.6455078125,0.6328125#0.96484375
/cones/cone_6648.jpg,0.6064453125#0.0302734375,0.4287109375#0.3193359375,0.33984375#0.5791015625,0.2490234375#0.8125,0.7275390625#0.3271484375,0.7705078125#0.6015625,0.7939453125#0.8662109375
/cones/cone_12577.jpg,0.61328125#0.0654296875,0.416015625#0.3408203125,0.302734375#0.6103515625,0.2138671875#0.8935546875,0.7177734375#0.34765625,0.7548828125#0.6337890625,0.7861328125#0.9384765625
/cones/cone_13755.jpg,0.3515625#0.03515625,0.208984375#0.3603515625,0.14453125#0.650390625,0.1181640625#0.9404296875,0.5595703125#0.349609375,0.65234375#0.6240234375,0.7470703125#0.869140625
/cones/cone_96.jpg,0.609375#0.03125,0.431640625#0.3154296875,0.3310546875#0.5830078125,0.25#0.8623046875,0.7373046875#0.3212890625,0.7646484375#0.595703125,0.7919921875#0.888671875
/cones/cone_1175.jpg,0.5908203125#0.0634765625,0.41015625#0.3486328125,0.3310546875#0.61328125,0.2431640625#0.8740234375,0.7177734375#0.349609375,0.7529296875#0.61328125,0.78125#0.8916015625
/cones/cone_7959.jpg,0.6728515625#0.07421875,0.4736328125#0.345703125,0.3369140625#0.578125,0.22265625#0.814453125,0.7734375#0.3515625,0.7470703125#0.6123046875,0.7509765625#0.873046875
/cones/cone_5345.jpg,0.5908203125#0.001953125,0.4423828125#0.28125,0.3310546875#0.59375,0.2373046875#0.8544921875,0.71484375#0.287109375,0.7255859375#0.5986328125,0.771484375#0.87890625
/cones/cone_18700.jpg,0.6015625#0.00390625,0.40234375#0.2978515625,0.28125#0.6474609375,0.1806640625#0.9150390625,0.7265625#0.2861328125,0.75390625#0.662109375,0.8134765625#0.9580078125
/cones/cone_632.jpg,0.4423828125#0.029296875,0.30078125#0.3759765625,0.2255859375#0.66796875,0.20703125#0.9443359375,0.6357421875#0.3544921875,0.7353515625#0.6337890625,0.765625#0.89453125
/cones/cone_13474.jpg,0.578125#0.0390625,0.3818359375#0.2900390625,0.2568359375#0.61328125,0.1611328125#0.8828125,0.71484375#0.3017578125,0.7666015625#0.615234375,0.7958984375#0.927734375
/cones/cone_5510.jpg,0.4521484375#0.001953125,0.26171875#0.314453125,0.158203125#0.658203125,0.08984375#0.9228515625,0.5595703125#0.2998046875,0.5986328125#0.7021484375,0.673828125#0.953125
/cones/cone_5517.jpg,0.673828125#0.001953125,0.458984375#0.283203125,0.3486328125#0.607421875,0.2275390625#0.9482421875,0.7783203125#0.306640625,0.828125#0.6435546875,0.8359375#0.9609375
/cones/cone_9760.jpg,0.6005859375#0.0732421875,0.439453125#0.345703125,0.3369140625#0.6083984375,0.2060546875#0.8671875,0.7197265625#0.3349609375,0.75390625#0.6376953125,0.7919921875#0.89453125
/cones/cone_6516.jpg,0.6328125#0.0068359375,0.4140625#0.3173828125,0.322265625#0.6337890625,0.212890625#0.921875,0.76953125#0.3369140625,0.783203125#0.6689453125,0.83203125#0.96484375
/cones/cone_5998.jpg,0.599609375#0.0673828125,0.423828125#0.3271484375,0.2978515625#0.6142578125,0.19921875#0.8701171875,0.6904296875#0.322265625,0.744140625#0.6328125,0.7939453125#0.8994140625
/cones/cone_6201.jpg,0.6171875#0.0126953125,0.43359375#0.3017578125,0.3212890625#0.576171875,0.2275390625#0.8544921875,0.7255859375#0.310546875,0.7724609375#0.6083984375,0.8203125#0.8994140625
/cones/cone_4023.jpg,0.59765625#0.0224609375,0.4150390625#0.2919921875,0.31640625#0.5751953125,0.19921875#0.861328125,0.69921875#0.322265625,0.740234375#0.6279296875,0.76953125#0.9189453125
/cones/cone_14522.jpg,0.548828125#0.0,0.3125#0.2666015625,0.2236328125#0.634765625,0.1181640625#0.890625,0.732421875#0.2685546875,0.7568359375#0.65625,0.8212890625#0.9599609375
/cones/cone_18709.jpg,0.54296875#0.041015625,0.365234375#0.306640625,0.29296875#0.59375,0.1796875#0.8525390625,0.6689453125#0.3134765625,0.708984375#0.5966796875,0.75#0.90234375
